item	onset	offset
ə	156.004	156.071
t	156.071	156.132
ə	156.132	156.191
r	156.191	156.243
ʏ	156.243	156.32
χ	156.32	156.384
z	156.384	156.496
ʏ	156.496	156.573
l	156.573	156.64
ə	156.64	156.709
v	156.709	156.841
ɪ	156.841	156.927
n	156.927	157.047
d	157.047	157.084
ə	157.084	157.156
w	157.603	157.628
ɛ	157.628	157.777
l	157.777	157.854
n	157.854	157.958
e	157.958	158.196
d	158.196	158.244
i	158.244	158.301
l	158.301	158.373
o	158.373	158.46
p	158.46	158.552
t	158.552	158.597
r	158.597	158.645
ʏ	158.645	158.704
χ	158.704	158.736
n	158.736	158.776
a	158.776	158.821
v	158.821	158.901
ɪ	158.901	158.943
l	158.943	158.999
a	158.999	159.056
k	159.056	159.157
a	159.157	159.299
k	159.299	159.378
ə	159.378	159.407
l	159.407	159.446
b	159.446	159.506
ɔ	159.506	159.598
n	159.598	159.672
ə	159.672	159.734
z	159.734	159.808
ɛ	159.808	159.881
t	159.881	159.954
k	159.954	160.06
ɔ	160.06	160.16
f	160.16	160.236
i	160.236	160.289
z	160.289	160.353
o	160.353	160.417
d	160.417	160.469
ɑ	160.469	160.517
t	160.517	160.602
w	160.797	160.869
ɑ	160.869	160.97
r	160.97	161.037
m	161.037	161.102
s	161.102	161.169
k	161.169	161.242
r	161.242	161.276
ɛi	161.276	161.399
χ	161.399	161.442
ə	161.442	161.462
ɑ	161.462	161.51
s	161.51	161.567
w	161.567	161.604
ə	161.604	161.651
t	161.651	161.721
r	161.721	161.757
ʏ	161.757	161.856
χ	161.856	161.932
k	161.932	162.005
o	162.005	162.117
m	162.117	162.162
k	163.824	163.879
ɔ	163.879	163.964
m	163.964	164.041
h	164.148	164.203
i	164.203	164.305
k	164.305	164.393
ʏ	164.393	164.448
n	164.448	164.503
ə	164.503	164.548
t	164.548	164.608
ɔ	164.608	164.668
x	164.668	164.727
n	164.727	164.757
i	164.757	164.814
b	164.875	164.908
l	164.908	164.933
ɛi	164.933	165.075
v	165.075	165.146
h	170.978	171.058
ɑ	171.058	171.158
l	171.158	171.247
o	171.247	171.518
l	173.364	173.445
o	173.445	173.805
w	174.694	174.735
ɛ	174.735	174.83
l	174.83	174.891
k	174.891	174.988
ɔ	174.988	175.083
m	175.083	175.269
χ	175.753	175.813
a	175.813	175.897
ɔ	175.897	175.968
p	175.968	176.037
ə	176.037	176.068
b	176.159	176.203
ɑ	176.203	176.235
ŋ	176.235	176.292
k	176.292	176.336
s	176.336	176.39
t	176.39	176.452
ɛ	176.452	176.562
l	176.562	176.6531
ɔ	177.214	177.332
f	177.332	177.442
ɪ	177.442	177.511
n	177.511	177.577
e	177.577	177.716
v	177.716	177.79
ɑ	177.79	177.827
n	177.827	177.873
d	177.873	177.898
ə	177.898	177.945
v	177.945	178.012
e	178.012	178.093
l	178.093	178.126
ə	178.126	178.185
l	178.185	178.241
œʏ	178.241	178.358
ə	178.358	178.439
s	178.439	178.549
t	178.549	178.589
u	178.589	178.668
l	178.668	178.716
ə	178.716	178.756
ɑ	178.756	178.808
l	178.808	178.864
s	178.864	178.926
j	178.926	178.949
ə	178.949	178.983
d	178.983	179.018
ɑ	179.018	179.058
t	179.058	179.138
i	179.188	179.258
v	179.258	179.32
ə	179.32	179.359
r	179.359	179.414
ɪ	179.414	179.52
s	179.52	179.699
ɪ	210.781	210.826
k	210.826	210.897
e	210.897	210.973
p	211.051	211.114
i	211.114	211.185
p	211.185	211.305
i	211.305	211.4029
ɛ	211.667	211.716
n	211.716	211.801
d	211.801	211.833
ɑ	211.833	211.904
t	211.904	211.967
ɪ	211.967	211.999
s	211.999	212.069
t	212.069	212.167
ɔ	212.167	212.253
m	212.253	212.326
i	212.326	212.48
ɛ	212.48	212.54
n	212.54	212.608
d	212.608	212.635
ɑ	212.635	212.702
t	212.702	212.77
ɑ	212.77	212.869
